Región,Municipio,Colonia ,Codigo Postal
Ciudad de México,Álvaro Obregón,Carlos A. Madrazo,01320
Ciudad de México,Álvaro Obregón,Paseo de las Lomas,01330
Ciudad de México,Álvaro Obregón,Bejero del Pueblo Santa Fe,01340
Ciudad de México,Álvaro Obregón,Santa Fe La Loma,01376
Ciudad de México,Álvaro Obregón,Santa Fe Centro Ciudad,01376
Ciudad de México,Álvaro Obregón,Santa Fe,01376
Ciudad de México,Álvaro Obregón,Santa Fe Peña Blanca,01376
Ciudad de México,Álvaro Obregón,Jalalpa El Grande,01377
Ciudad de México,Álvaro Obregón,Antonio Carrillo Flores,01379
Ciudad de México,Álvaro Obregón,Santa Fe Tlayapaca,01389
Ciudad de México,Álvaro Obregón,Preconcreto,01400
Ciudad de México,Álvaro Obregón,Olivar del Conde 1a Sección,01400
Ciudad de México,Álvaro Obregón,Galeana,01407
Ciudad de México,Álvaro Obregón,Olivar del Conde 2a Sección,01408
Ciudad de México,Álvaro Obregón,Barrio Norte,01410
Ciudad de México,Álvaro Obregón,Palmas,01410
Ciudad de México,Álvaro Obregón,Minas Cristo Rey,01419
Ciudad de México,Álvaro Obregón,Santa María Nonoalco,01420
Ciudad de México,Álvaro Obregón,Sacramento,01420
Ciudad de México,Álvaro Obregón,Colina del Sur,01430
Ciudad de México,Álvaro Obregón,Abeto,01440
Ciudad de México,Álvaro Obregón,Cañada del Olivar,01450
Ciudad de México,Álvaro Obregón,Batallón de San Patricio,01450
Ciudad de México,Álvaro Obregón,Hogar y Redención,01450
Ciudad de México,Álvaro Obregón,Unidad Popular Emiliano Zapata,01450
Ciudad de México,Álvaro Obregón,Alfonso XIII,01460
Ciudad de México,Álvaro Obregón,Alfalfar,01470
Ciudad de México,Álvaro Obregón,Molino de Rosas,01470
Ciudad de México,Álvaro Obregón,Lomas de Plateros,01480
Ciudad de México,Álvaro Obregón,Torres de Mixcoac,01490
Ciudad de México,Álvaro Obregón,La Cascada,01490
Ciudad de México,Álvaro Obregón,Miguel Gaona Armenta,01500
Ciudad de México,Álvaro Obregón,Santa Lucía,01500
Ciudad de México,Álvaro Obregón,Santa Lucía Chantepec,01509
Ciudad de México,Álvaro Obregón,Garcimarrero,01510
Ciudad de México,Álvaro Obregón,Los Cedros,01510
Ciudad de México,Álvaro Obregón,La Araña,01510
Ciudad de México,Álvaro Obregón,Estado de Hidalgo,01520
Ciudad de México,Álvaro Obregón,Piru Santa Lucía,01520
Ciudad de México,Álvaro Obregón,Ampliación Los Pirules,01520
Ciudad de México,Álvaro Obregón,Ampliación Estado de Hidalgo,01520
Ciudad de México,Álvaro Obregón,El Politoco,01520
Ciudad de México,Álvaro Obregón,Corpus Christy,01530
Ciudad de México,Álvaro Obregón,Universal,01537
Ciudad de México,Álvaro Obregón,Tepopotla,01538
Ciudad de México,Álvaro Obregón,Acuilotla,01539
Ciudad de México,Álvaro Obregón,Cooperativa Unión Olivos,01539
Ciudad de México,Álvaro Obregón,Balcones de Cehuayo,01540
Ciudad de México,Álvaro Obregón,Providencia,01540
Ciudad de México,Álvaro Obregón,Llano Redondo,01540
Ciudad de México,Álvaro Obregón,Punta de Cehuaya,01540
Ciudad de México,Álvaro Obregón,Cehuaya,01540
Ciudad de México,Álvaro Obregón,Villa Progresista,01548
Ciudad de México,Álvaro Obregón,Dos Ríos del Pueblo Santa Lucía,01549
Ciudad de México,Álvaro Obregón,Tepeaca,01550
Ciudad de México,Álvaro Obregón,Ampliación Tepeaca,01550
Ciudad de México,Álvaro Obregón,Rinconada Las Cuevitas,01550
Ciudad de México,Álvaro Obregón,Canutillo,01560
Ciudad de México,Álvaro Obregón,Ave Real,01560
Ciudad de México,Álvaro Obregón,Canutillo 3a Sección,01560
Ciudad de México,Álvaro Obregón,Canutillo 2a Sección,01560
Ciudad de México,Álvaro Obregón,Hueytlale,01566
Ciudad de México,Álvaro Obregón,Tepeaca,01567
Ciudad de México,Álvaro Obregón,Reacomodo Valentín Gómez Farías,01569
Ciudad de México,Álvaro Obregón,Tarango,01588
Ciudad de México,Álvaro Obregón,El Rincón,01590
Ciudad de México,Álvaro Obregón,Sociedad Cooperativa Unión Poder Popular,01600
Ciudad de México,Álvaro Obregón,Merced Gómez,01600
Ciudad de México,Álvaro Obregón,Profesor J. Arturo López Martínez,01610
Ciudad de México,Álvaro Obregón,Colinas de Tarango,01610
Ciudad de México,Álvaro Obregón,Arcos Centenario,01618
Ciudad de México,Álvaro Obregón,Ex-Hacienda de Tarango,01618
Ciudad de México,Álvaro Obregón,Rinconada de Tarango,01619
Ciudad de México,Álvaro Obregón,La Martinica,01619
Ciudad de México,Álvaro Obregón,Lomas de Tarango,01620
Ciudad de México,Álvaro Obregón,Puerta Grande,01630
Ciudad de México,Álvaro Obregón,Belém de las Flores,01630
Ciudad de México,Álvaro Obregón,Los Juristas,01630
Ciudad de México,Álvaro Obregón,Lomas de Puerta Grande,01630
Ciudad de México,Álvaro Obregón,Herón Proal,01640
Ciudad de México,Álvaro Obregón,Ponciano Arriaga,01645
Ciudad de México,Álvaro Obregón,Ampliación Tlacuitlapa,01650
Ciudad de México,Álvaro Obregón,2o Reacomodo Tlacuitlapa,01650
Ciudad de México,Álvaro Obregón,La Milagrosa,01650
Ciudad de México,Álvaro Obregón,Palmas Axotitla,01650
Ciudad de México,Álvaro Obregón,Tlacuitlapa,01650
Ciudad de México,Álvaro Obregón,Santa Lucía Chantepec,01650
Ciudad de México,Álvaro Obregón,El Ruedo,01650
Ciudad de México,Álvaro Obregón,2a Del Moral del Pueblo de Tetelpan,01700
Ciudad de México,Álvaro Obregón,San Agustín del Pueblo Tetelpan,01700
Ciudad de México,Álvaro Obregón,La Joyita del Pueblo Tetelpan,01700
Ciudad de México,Álvaro Obregón,Ocotillos del Pueblo Tetelpan,01700
Ciudad de México,Álvaro Obregón,Tetelpan,01700
Ciudad de México,Álvaro Obregón,Tecalcapa del Pueblo Tetelpan,01700
Ciudad de México,Álvaro Obregón,El Mirador del Pueblo Tetelpan,01708
Ciudad de México,Álvaro Obregón,El Encino del Pueblo Tetelpan,01708
Ciudad de México,Álvaro Obregón,Las Águilas,01710
Ciudad de México,Álvaro Obregón,Ampliación Alpes,01710
Ciudad de México,Álvaro Obregón,Lomas de Guadalupe,01720
Ciudad de México,Álvaro Obregón,Alcantarilla,01729
Ciudad de México,Álvaro Obregón,Lomas de las Águilas,01730
Ciudad de México,Álvaro Obregón,Puente Colorado,01730
Ciudad de México,Álvaro Obregón,La Peñita del Pueblo Tetelpan,01740
Ciudad de México,Álvaro Obregón,San Clemente Norte,01740
Ciudad de México,Álvaro Obregón,San Clemente Sur,01740
Ciudad de México,Álvaro Obregón,Las Águilas 1a Sección,01750
Ciudad de México,Álvaro Obregón,Las Águilas 3er Parque,01750
Ciudad de México,Álvaro Obregón,Las Águilas 2o Parque,01750
Ciudad de México,Álvaro Obregón,Ampliación Las Águilas,01759
Ciudad de México,Álvaro Obregón,Atlamaya,01760
Ciudad de México,Álvaro Obregón,La Herradura del Pueblo Tetelpan,01760
Ciudad de México,Álvaro Obregón,Flor de María,01760
Ciudad de México,Álvaro Obregón,San José del Olivar,01770
Ciudad de México,Álvaro Obregón,La Angostura,01770
Ciudad de México,Álvaro Obregón,Tizampampano del Pueblo Tetelpan,01780
Ciudad de México,Álvaro Obregón,Olivar de los Padres,01780
Ciudad de México,Álvaro Obregón,El Olivarito,01788
Ciudad de México,Álvaro Obregón,Miguel Hidalgo,01789
Ciudad de México,Álvaro Obregón,Lomas de San Ángel Inn,01790
Ciudad de México,Álvaro Obregón,Lomas de los Ángeles del Pueblo Tetelpan,01790
Ciudad de México,Álvaro Obregón,San Bartolo Ameyalco,01800
Ciudad de México,Álvaro Obregón,Rancho San Francisco Pueblo San Bartolo Ameyalco,01807
Ciudad de México,Álvaro Obregón,Villa Verdún,01810
Ciudad de México,Álvaro Obregón,Ejido San Mateo,01820
Ciudad de México,Álvaro Obregón,Lomas Axomiatla,01820
Ciudad de México,Álvaro Obregón,Santa Rosa Xochiac,01830
Ciudad de México,Álvaro Obregón,Torres de Potrero,01840
Ciudad de México,Álvaro Obregón,Rincón de la Bolsa,01849
Ciudad de México,Álvaro Obregón,Rancho del Carmen del Pueblo San Bartolo Ameyalco,01849
Ciudad de México,Álvaro Obregón,Paraje del Caballito,01856
Ciudad de México,Álvaro Obregón,Lomas de Chamontoya,01857
Ciudad de México,Álvaro Obregón,Tlacoyaque,01859
Ciudad de México,Álvaro Obregón,Lomas de La Era,01860
Ciudad de México,Álvaro Obregón,Lomas del Capulín,01863
Ciudad de México,Álvaro Obregón,Lomas de los Cedros,01870
Ciudad de México,Álvaro Obregón,Jardines del Pedregal,01900
Ciudad de México,Álvaro Obregón,San Jerónimo Aculco,01904
Ciudad de México,Álvaro Obregón,Rancho Anzaldo y Contreras,01940
Ciudad de México,Álvaro Obregón,Pedregal,01990
Ciudad de México,Azcapotzalco,Centro de Azcapotzalco,02000
Ciudad de México,Azcapotzalco,Los Reyes,02010
Ciudad de México,Azcapotzalco,Nuevo Barrio San Rafael,02010
Ciudad de México,Azcapotzalco,San Rafael,02010
Ciudad de México,Azcapotzalco,Santo Tomás,02020
Ciudad de México,Azcapotzalco,San Marcos,02020
Ciudad de México,Azcapotzalco,San Sebastián,02040
Ciudad de México,Azcapotzalco,Del Maestro,02040
Ciudad de México,Azcapotzalco,Libertad,02050
Ciudad de México,Azcapotzalco,Wake,02050
Ciudad de México,Azcapotzalco,Santa María Malinalco,02050
Ciudad de México,Azcapotzalco,Sindicato Mexicano de Electricistas,02060
Ciudad de México,Azcapotzalco,Un Hogar Para Cada Trabajador,02060
Ciudad de México,Azcapotzalco,Palestina,02070
Ciudad de México,Azcapotzalco,Del Recreo,02070
Ciudad de México,Azcapotzalco,Nextengo,02070
Ciudad de México,Azcapotzalco,Nextengo,02070
Ciudad de México,Azcapotzalco,Azcapotzalco,02070
Ciudad de México,Azcapotzalco,Sector Naval,02080
Ciudad de México,Azcapotzalco,Clavería,02080
Ciudad de México,Azcapotzalco,San Álvaro,02090
Ciudad de México,Azcapotzalco,Ángel Zimbrón,02099
Ciudad de México,Azcapotzalco,El Rosario,02100
Ciudad de México,Azcapotzalco,Los Oyameles,02100
Ciudad de México,Azcapotzalco,Manuel Rivera Anaya CROC 1,02109
Ciudad de México,Azcapotzalco,CROC 6 Olimpia,02109
Ciudad de México,Azcapotzalco,San Martín Xochinahuac,02120
Ciudad de México,Azcapotzalco,Nueva El Rosario,02128
Ciudad de México,Azcapotzalco,Nueva España,02129
Ciudad de México,Azcapotzalco,Tierra Nueva,02130
Ciudad de México,Azcapotzalco,Santa Inés,02140
Ciudad de México,Azcapotzalco,Azcapotzalco Pasteros,02150
Ciudad de México,Azcapotzalco,Pasteros,02150
Ciudad de México,Azcapotzalco,Santo Domingo,02160
Ciudad de México,Azcapotzalco,Villas de Azcapotzalco,02169
Ciudad de México,Azcapotzalco,Reynosa Tamaulipas,02200
Ciudad de México,Azcapotzalco,Santa Bárbara,02230
Ciudad de México,Azcapotzalco,San Andrés,02240
Ciudad de México,Azcapotzalco,Ticoman,02240
Ciudad de México,Azcapotzalco,San Andrés,02240
Ciudad de México,Azcapotzalco,San Andrés Fase II,02240
Ciudad de México,Azcapotzalco,Santa Catarina,02250
Ciudad de México,Azcapotzalco,Pitolaca,02260
Ciudad de México,Azcapotzalco,Industrial Vallejo,02300
Ciudad de México,Azcapotzalco,Ferrería,02310
Ciudad de México,Azcapotzalco,San Andrés de las Salinas,02320
Ciudad de México,Azcapotzalco,Huautla de las Salinas,02330
Ciudad de México,Azcapotzalco,Santa Cruz de las Salinas,02340
Ciudad de México,Azcapotzalco,Jardines de Ceylán,02350
Ciudad de México,Azcapotzalco,Las Salinas,02360
Ciudad de México,Azcapotzalco,Rinconada el Olivar,02400
Ciudad de México,Azcapotzalco,San Juan Tlihuaca,02400
Ciudad de México,Azcapotzalco,San Juan Tlihuaca,02400
Ciudad de México,Azcapotzalco,Rosendo Salazar,02409
Ciudad de México,Azcapotzalco,Prados del Rosario,02410
Ciudad de México,Azcapotzalco,Trabajadores de PEMEX,02419
Ciudad de México,Azcapotzalco,Francisco Villa,02420
Ciudad de México,Azcapotzalco,Ex-Hacienda El Rosario,02420
Ciudad de México,Azcapotzalco,Presidente Madero,02430
Ciudad de México,Azcapotzalco,Providencia,02440
Ciudad de México,Azcapotzalco,Las Trancas,02450
Ciudad de México,Azcapotzalco,Miguel Hidalgo,02450
Ciudad de México,Azcapotzalco,Tezozomoc,02459
Ciudad de México,Azcapotzalco,Axolahua,02460
Ciudad de México,Azcapotzalco,La Preciosa,02460
Ciudad de México,Azcapotzalco,Ampliación Petrolera,02470
Ciudad de México,Azcapotzalco,Lázaro Cárdenas,02479
Ciudad de México,Azcapotzalco,Petrolera,02480
Ciudad de México,Azcapotzalco,San Mateo,02490
Ciudad de México,Azcapotzalco,Kervin,02490
Ciudad de México,Azcapotzalco,Unidad Cuitlahuac,02500
Ciudad de México,Azcapotzalco,El Jagüey,02510
Ciudad de México,Azcapotzalco,Pantaco,02510
Ciudad de México,Azcapotzalco,El Jagüey,02519
Ciudad de México,Azcapotzalco,Estación Pantaco,02520
Ciudad de México,Azcapotzalco,Granjas Pantaco Campamento Ferrocarrilero,02525
Ciudad de México,Azcapotzalco,Jardín Azpeitia,02530
Ciudad de México,Azcapotzalco,Hogares Ferrocarrileros,02540
Ciudad de México,Azcapotzalco,Pro-Hogar,02600
Ciudad de México,Azcapotzalco,Coltongo,02630
Ciudad de México,Azcapotzalco,Coltongo,02630
Ciudad de México,Azcapotzalco,Monte Alto,02640
Ciudad de México,Azcapotzalco,Trabajadores de Hierro,02650
Ciudad de México,Azcapotzalco,Euzkadi,02660
Ciudad de México,Azcapotzalco,Cosmopolita,02670
Ciudad de México,Azcapotzalco,Potrero del Llano,02680
Ciudad de México,Azcapotzalco,San Miguel Amantla,02700
Ciudad de México,Azcapotzalco,San Pedro Xalpa,02710
Ciudad de México,Azcapotzalco,San Isidro,02710
Ciudad de México,Azcapotzalco,Las Armas,02718
Ciudad de México,Azcapotzalco,Ampliación San Pedro Xalpa,02719
Ciudad de México,Azcapotzalco,San Antonio,02720
Ciudad de México,Azcapotzalco,San Bartolo Cahualtongo,02720
Ciudad de México,Azcapotzalco,Campo Encantado,02729
Ciudad de México,Azcapotzalco,San Francisco Tetecala,02730
Ciudad de México,Azcapotzalco,Miguel Lerdo de Tejada,02739
Ciudad de México,Azcapotzalco,Santiago Ahuizotla,02750
Ciudad de México,Azcapotzalco,La Escuadra,02750
Ciudad de México,Azcapotzalco,La Providencia,02750
Ciudad de México,Azcapotzalco,Santa Lucía,02760
Ciudad de México,Azcapotzalco,Industrial San Antonio,02760
Ciudad de México,Azcapotzalco,Santa Cruz Acayucan,02770
Ciudad de México,Azcapotzalco,Plenitud,02780
Ciudad de México,Azcapotzalco,Santa Apolonia,02790
Ciudad de México,Azcapotzalco,Nueva Santa María,02800
Ciudad de México,Azcapotzalco,Ignacio Allende,02810
Ciudad de México,Azcapotzalco,Victoria de las Democracias,02810
Ciudad de México,Azcapotzalco,San Bernabé,02830
Ciudad de México,Azcapotzalco,Toronja,02830
Ciudad de México,Azcapotzalco,Obrero Popular,02840
Ciudad de México,Azcapotzalco,Cobre de México,02840
Ciudad de México,Azcapotzalco,Tlatilco,02850
Ciudad de México,Azcapotzalco,Tlatilco,02860
Ciudad de México,Azcapotzalco,San Salvador Xochimanca,02870
Ciudad de México,Azcapotzalco,Aguilera,02900
Ciudad de México,Azcapotzalco,Aldana,02910
Ciudad de México,Azcapotzalco,Ampliación Cosmopolita,02920
Ciudad de México,Azcapotzalco,Liberación,02930
Ciudad de México,Azcapotzalco,Porvenir,02940
Ciudad de México,Azcapotzalco,Del Gas,02950
Ciudad de México,Azcapotzalco,San Francisco Xocotitla,02960
Ciudad de México,Azcapotzalco,Ampliación Del Gas,02970
Ciudad de México,Azcapotzalco,Patrimonio Familiar,02980
Ciudad de México,Azcapotzalco,Arenal,02980
Ciudad de México,Azcapotzalco,La Raza,02990
Ciudad de México,Benito Juárez,Piedad Narvarte,03000
Ciudad de México,Benito Juárez,Atenor Salas,03010
Ciudad de México,Benito Juárez,Esperanza,03020
Ciudad de México,Benito Juárez,Narvarte Poniente,03020
Ciudad de México,Benito Juárez,Narvarte Oriente,03023
Ciudad de México,Benito Juárez,Unidad Narvarte IMSS,03023
Ciudad de México,Benito Juárez,Del Valle Centro,03100
Ciudad de México,Benito Juárez,Insurgentes San Borja,03100
Ciudad de México,Benito Juárez,Del Valle Norte,03103
Ciudad de México,Benito Juárez,Del Valle Sur,03104
Ciudad de México,Benito Juárez,Tlacoquemécatl,03200
Ciudad de México,Benito Juárez,Centro Urbano Presidente Miguel Alemán,03220
Ciudad de México,Benito Juárez,Actipan,03230
Ciudad de México,Benito Juárez,Acacias,03240
Ciudad de México,Benito Juárez,Portales Sur,03300
Ciudad de México,Benito Juárez,Portales Norte,03303
Ciudad de México,Benito Juárez,Santa Cruz Atoyac,03310
Ciudad de México,Benito Juárez,Modulo Social las Flores,03313
Ciudad de México,Benito Juárez,Residencial Emperadores,03320
Ciudad de México,Benito Juárez,Xoco,03330
Ciudad de México,Benito Juárez,General Pedro María Anaya,03340
Ciudad de México,Benito Juárez,Álamos,03400
Ciudad de México,Benito Juárez,Postal,03410
Ciudad de México,Benito Juárez,Miguel Alemán,03420
Ciudad de México,Benito Juárez,Josefa Ortiz de Domínguez,03430
Ciudad de México,Benito Juárez,Niños Héroes,03440
Ciudad de México,Benito Juárez,Nativitas,03500
Ciudad de México,Benito Juárez,Moderna,03510
Ciudad de México,Benito Juárez,Iztaccihuatl,03520
Ciudad de México,Benito Juárez,Villa de Cortes,03530
Ciudad de México,Benito Juárez,Del Carmen,03540
Ciudad de México,Benito Juárez,Zacahuitzco,03550
Ciudad de México,Benito Juárez,Albert,03560
Ciudad de México,Benito Juárez,Portales Oriente,03570
Ciudad de México,Benito Juárez,Miravalle,03580
Ciudad de México,Benito Juárez,Ermita,03590
Ciudad de México,Benito Juárez,Vértiz Narvarte,03600
Ciudad de México,Benito Juárez,Américas Unidas,03610
Ciudad de México,Benito Juárez,Periodista,03620
Ciudad de México,Benito Juárez,Independencia,03630
Ciudad de México,Benito Juárez,Del Lago,03640
Ciudad de México,Benito Juárez,Letrán Valle,03650
Ciudad de México,Benito Juárez,San Simón Ticumac,03660
Ciudad de México,Benito Juárez,Santa María Nonoalco,03700
Ciudad de México,Benito Juárez,Ciudad de los Deportes,03710
Ciudad de México,Benito Juárez,Nochebuena,03720
Ciudad de México,Benito Juárez,San Juan,03730
Ciudad de México,Benito Juárez,Extremadura Insurgentes,03740
Ciudad de México,Benito Juárez,San Pedro de los Pinos,03800
Ciudad de México,Benito Juárez,Nápoles,03810
Ciudad de México,Benito Juárez,8 de Agosto,03820
Ciudad de México,Benito Juárez,Ampliación Nápoles,03840
Ciudad de México,Benito Juárez,San José Insurgentes,03900
Ciudad de México,Benito Juárez,Mixcoac,03910
Ciudad de México,Benito Juárez,Insurgentes Mixcoac,03920
Ciudad de México,Benito Juárez,Merced Gómez,03930
Ciudad de México,Benito Juárez,Crédito Constructor,03940
Ciudad de México,Coyoacán,Villa Coyoacán,04000
Ciudad de México,Coyoacán,Barrio Santa Catarina,04010
Ciudad de México,Coyoacán,Barrio La Concepción,04020
Ciudad de México,Coyoacán,Barrio San Lucas,04030
Ciudad de México,Coyoacán,Parque San Andrés,04040
Ciudad de México,Coyoacán,Del Carmen,04100
Ciudad de México,Coyoacán,San Diego Churubusco,04120
Ciudad de México,Coyoacán,San Mateo,04120
Ciudad de México,Coyoacán,Campestre Churubusco,04200
Ciudad de México,Coyoacán,Churubusco Country Club,04210
Ciudad de México,Coyoacán,Prado Churubusco,04230
Ciudad de México,Coyoacán,Ermita Churubusco,04239
Ciudad de México,Coyoacán,Hermosillo,04240
Ciudad de México,Coyoacán,Paseos de Taxqueña,04250
Ciudad de México,Coyoacán,20 de Agosto,04259
Ciudad de México,Coyoacán,San Francisco Culhuacán Barrio de San Juan,04260
Ciudad de México,Coyoacán,San Francisco Culhuacán Barrio de San Francisco,04260
Ciudad de México,Coyoacán,San Francisco Culhuacán Barrio de La Magdalena,04260
Ciudad de México,Coyoacán,San Francisco Culhuacán Barrio de Santa Ana,04260
Ciudad de México,Coyoacán,Santa Martha del Sur Quetzalcoatl,04270
Ciudad de México,Coyoacán,Ajusco,04300
Ciudad de México,Coyoacán,Ajusco Montserrat,04307
Ciudad de México,Coyoacán,Pedregal de Monserrat,04309
Ciudad de México,Coyoacán,Monte de Piedad,04310
Ciudad de México,Coyoacán,Romero de Terreros,04310
Ciudad de México,Coyoacán,ISSSTE,04317
Ciudad de México,Coyoacán,Barrio Oxtopulco Universidad,04318
Ciudad de México,Coyoacán,Torres de Chimalistac,04319
Ciudad de México,Coyoacán,Fortín de Chimalistac,04319
Ciudad de México,Coyoacán,Romero de Terreros,04320
Ciudad de México,Coyoacán,Cuadrante de San Francisco,04320
Ciudad de México,Coyoacán,Pedregal de San Francisco,04320
Ciudad de México,Coyoacán,Villa de San Francisco,04326
Ciudad de México,Coyoacán,Rincón de Guanajuato,04327
Ciudad de México,Coyoacán,Barrio del Niño Jesús,04330
Ciudad de México,Coyoacán,El Rosedal,04330
Ciudad de México,Coyoacán,Pedregal de Coyoacán,04330
Ciudad de México,Coyoacán,Pueblo de los Reyes,04330
